,Comment,Upvote,Time
404,انه اغنيه جميله جدا انا احبها جدا تحياتي من سوريا 🇸🇾,2,hace 9 días
405,Die music ist sehr gut liebe Grüße aus Berlin ,3,hace 6 días
406,I like this song .,,hace 20 horas
407,Can we all confirm when this song came out we were in our prime?,1,hace 6 días
408,E em pleno 2023. Tamu aqui ouvindo Despacito,1,hace 4 días
409,twerking in spanish,255,hace 2 años
410,Ambos unos genios,1,hace 9 días
411,"...Грискам Ви кааааато солетки, толкова сте сладкосолени...Поздрави...Не мога без ...Вас и този ритъм...",,hace 5 días
412,"Puse esté comentario para que cuando alguien le pongan like puedo escuchar esto otra vez. 
¡También 8 billion de vistas entonces todo el mundo a escuchado este cancion que loco!",2,hace 1 día
413,Mən bu mahnını çox sevirəm Gözəl ,,hace 6 días
414,amo,,hace 23 horas
415,"How to count the world population the easier way
Luis Fonsi: Des pa ci to",126,hace 3 años
416,I use to hear this when I'm a kid and my mom love to listen it even though we are Malaysia,,hace 11 días
417,"It,2023 my favourite song",1,hace 4 días
418,All time is my fev #DadyYnkee,,hace 43 minutos
419,Oigan llevo escuchando Esta cancion Desde ase 4 años,,hace 8 días
420,Best songs favorite songI like this song,,hace 1 día
421,"petition to declare „despacito“ as a unit that represents the amount of people living on earth 

So right now there are 0,89 despactio on earth",204,hace 3 años
422,Watching since it was Realeased,1,hace 6 días
423,Pronto En Los 10Mil Millones Quien Dice Que Sii,2,hace 6 días
424,Yeah it’s a pretty good song,1,hace 2 días
425,Nostalgia,1,hace 9 días
426,QUE RICO QUE SON DE PUERTO RICO ,2,hace 2 días
427,Let's see how many people who are watching this during quarantine,140,hace 3 años
428,Un clásico acá apronto del 2024 y sigo escuchando música quien de él 2023,,hace 7 días
429,until now i'm listening Despacito,,hace 6 días
430,"Es increible como los Koreanos superaron esta canción, aquí pura vulgaridad y los Koreanos puro Arte.",,hace 3 días
431,"Honestly,the first time I heard this song I really liked it and that was years ago. I hope they continue to make more songs that will reach 10B views",,hace 5 días
432,Esta es la leyenda de todas las canciones,,hace 18 horas
433,"Song: Spanish
Comments: English
Location: Puerto Rico
Hotel: Trivago",1.7 K,hace 2 años
434,I will remember this song always when I was in 6th standard . And tell my kids .,,hace 6 días
435,I'm Indian but I love this song,,hace 9 días
436,so good,,hace 2 días
437,"¡Ay!

Fonsi, DY

Oh, oh no, oh no (oh)

Hey yeah",3,hace 9 días
438,Despacito is a certified banger!,2,hace 1 día
439,"Song: 3 years ago.
Comments: 10 minutes ago.",827,hace 3 años
440,. Un booom. Ke letra aa jaja nunca había escuchado toda la letra jaka,,hace 7 días
441,I remember that feeling when i memorised this song completely to be cool infront of classmates in my school,,hace 4 días
442,القرآن يجعل الحياه رائعه ,1,hace 1 día
443,이 음악 좋아요~~:),1,hace 7 días
444,Es la mejor canción española🇪🇸,2,hace 2 días
445,3.8 M comment if u find me u are real legend,201,hace 2 años (editado)
446,Das ist ein Song an die Freude und Sinnlichkeit. ,,hace 6 días
447,Ya tienen 8226 M de visitas la ronpieron,,hace 11 días
448,As the kids say it’s fire  ,,hace 3 días
449,I decided to watch it again ,1,hace 10 días
450,August 2023 the vibe still doesn't decrease ,1,hace 4 horas
451,"Baby shark:we have the most viewed video
Every non kid: Let's create history",161,hace 2 años
452,World favourite one ️,,hace 10 días
453,2023 rola,,hace 10 días
454,Türkiyeden selamlar bu müzik kulaga hoş geliyor ve dunya nüfusuna ulaşmış dinlenme,,hace 2 días
455,"h, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh yeah)",6,hace 9 días
456,la mejor cancion del mundo,1,hace 3 días
457,If you found mine in 2.9 million comment thank you very much,251,hace 4 años
458,"Yo en 2017 : Temazo 
Yo en 2020 : Temazo 
Yo en 2023 : Ptm Temazo ",9,hace 9 días
459,,1,hace 11 días
460,Quien recordando este temazo en 2023?,1,hace 3 días
461,Đỉnh,,hace 7 días
462,Beautiful best song....,1,hace 3 días
463,This is the most liked video of all time and I make a video to surpass and be a Legend ,937,hace 1 año (editado)
464,Es una melodia superior,,hace 6 días
465,Felicidades la mejor canción del mundo,,hace 9 días
466,الأغنية بيها ذكريات مو طبيعية اريد ارجع لسنة 2017 🥹,1,hace 3 días
467,"Me encanta este ritmo, despacito... y terminar rapidito ",1,hace 8 días
468,WHO'S HERE LISTENING TO THIS MASTERPIECE IN 2023 AUG ,5,hace 1 día (editado)
469,"Just checking out 3.1 million comments and 6B views..
4th Nov 2019",274,hace 4 años (editado)
470,a mi abuelo le encantaba,1,hace 9 días
471,Its a god level song,1,hace 7 días
472,,,hace 58 minutos
473,This is song - Legend!,2,hace 6 días
474,"Şarkı Muhteşem Bayıldım Kral Şarkı
Mükemmel ",1,hace 3 días
475,"If he looks on the statistics for this video, he will see

Recommended: 43 million views",482,hace 3 años
476,...Такава динамика и настроение...ваш патент...,,hace 5 días
477,Me da nostalgia aaaahhhhh,4,hace 9 días
478,miss this song so much,2,hace 15 horas (editado)
479,Esta canción casi tiene 7 años de edad ,,hace 4 días
480,2023 was awesome ,,hace 2 días
481,"Deapacito: I can't be crossed 
Babies who can't even poop in the toilet: hold my baby shark",234,hace 2 años
482,Amazing song,,hace 8 días
483,No words to exaplain my feels for this song,2,hace 6 días
484,2023 still love this song,,hace 1 día
485,Thật không thể tin được ,,hace 7 días
486,Love from Assam ,,hace 3 días
487,When you realize that most of the views are from the people who came here to check the views. LOL. ,129,hace 4 años (editado)
488,2017 хочу вернуться туда,1,hace 10 días
489,2023 auguem escutando essa linda musica ?,11,hace 9 días
490,Wao ,,hace 3 días
491,This song contributes 8 billion views out of 15 billion views on this channel !!!,1,hace 5 días (editado)
492,Catchy song ,,hace 2 horas
493,"No one:
Not a single soul:
Aliens: So this is earth, a.k.a despacito.",140,hace 3 años
494,This song crack all records 9 billion views,,hace 6 días
495,far too many memories. would go back if i could,1,hace 5 días
496,Great,,hace 3 días
497,This music  is best performance in the world ️,,hace 5 días
498,There 8.4billion around people on earth and this is the only one song on earth who got (8.2)billion views OMG love it ️️️,2,hace 3 días
499,I wonder how much of the people who watched this vid is still alive,117,hace 3 años
