,Comment,Upvote,Time
82,"World's population : 7b+
Despacito's views : 6.4 b ?? Seriously",183,hace 3 años
83,6 años de esta joyita,1,hace 5 días
84,Que música linda 🇧🇷,10,hace 8 días
85,I love listening to this beautiful song too much Despacito ️,2,hace 1 día
86,He deserve 8.2 billion views,1,hace 7 días
87,Never get tired of listening,,hace 3 días
88,Just checking the on people who really like the song. Versus the people just coming to see how many views this video has.,148,hace 2 años
89,Золотое было время ,,hace 6 días
90,Get your “Before 9 Billion” ticket here.,10 k,hace 2 años (editado)
91,Tempo que não volta mais ,30,hace 9 días
92,Super  Muzika  From Uzbekistan.🇺🇿,2,hace 1 día
93,A MASTERPIECE FOREVER ,1,hace 6 días
94,Its been 6 years since released and its still lit. Whoever is still listening to the currently is a legends.,1,hace 1 día
95,"When ,I showed her this song she told me ,,I LUV U TOO,,,THEN I was like eee DESPACITOOO",176,hace 4 años
96,its been 6 year but this song is still a banger,4,hace 9 días
97,"Mais de 8 BILHÕES de visualizações, tô passada!!!! '_' tô aqui revendo esse sucesso!!! ️",13,hace 9 días
98,"Time has passed since this video, but it never gets old",,hace 2 días
99,واو الاغنيه تجنن  الف تحيه 🇧🇷,2,hace 8 días
100,El tiempo pasa y esto se vuelve mas dulce,,hace 19 horas
101,"Have you ever looked at the comments and thought...
""Damn, I wish I thought of that first""",187,hace 3 años
102,Q hino mano,35,hace 9 días (editado)
103,"Music suara disertakan gerakan semua nya paling top, sukses terus untuk karya selanjut nya.

Greasting from wes't papua 🇵🇬",2,hace 4 días
104,️️️,1,hace 5 horas
105,Amo esta música!!!,22,hace 7 días
106,I haven’t heard this sound in 5 years still know it word from word,1,hace 3 días
107,"Chill the whole world hasn't viewed the song yet, idiots like me watched on repeat  And i'm here still !",150,hace 2 años
108,"La canción más famosa del 2017, sin duda extraño ese año y esta canción si que fue un hit durante ese año",4,hace 10 días
109,Me encanta la canción ️,17,hace 10 días
110,This song is immortal,1,hace 2 minutos
111,Igual de vacana!,1,hace 5 días
112,Обожаю эту песню помню когда она вышла мне было 14 а щас 20 настальгия пипец,,hace 1 día
113,Cuantas veces escucharon esta canción el día de hoy ? Ayuden al str3am,164,hace 2 años
114,Old Vibes ️,4,hace 9 días
115,Why this song not getting old every time I listen to this I fell the same way I felt first time ,,hace 8 días
116,never get old,1,hace 7 días
117,Wow ,1,hace 1 día
118,the views would soon be equal to the whole damn population of the planet wowwowow,255,hace 4 años
119,6 years & still a best music ,5,hace 11 días
120,"This song takes me back to those times, it has certain something that can't be put into words",1,hace 6 días
121,A song which can never fade in a lifetime,,hace 2 días
122,Alguien escuchando este temazo en 2024!!!️,4,hace 5 días
123,"It has been 6 years, this song is still a legend",,hace 3 días
124,"Nobody:

Luis Fonsi: “If I had a dollar for ever view I got on this video man I would be rich”",190,hace 3 años (editado)
125,Me encanta la canción en español ️,2,hace 4 días
126,A masterpiece which will never end,1,hace 8 días
127,Amazing,3,hace 3 días
128,Es sorprendente que cada día esta canción sube 1M de vistas. Esta canción siempre y será un temón!!!!!!!,3,hace 7 días
129,I love this song,,hace 2 días
130,"2017: People came to listen song
2021: People Came to check views 
2022: People came to check if any video has more views than Despactio ",237,hace 1 año
131,This song hits different even after 6 years,2,hace 4 días (editado)
132,Masterpiece song ,,hace 6 días
133,Loved to have this song during my peak days ,2,hace 3 horas
134,gracias amo tu cancion,2,hace 10 días
135,"Me encanta como hay más comentarios en otros idiomas como ingles, portugues más que en español, lo internacional que se esta rola...",,hace 3 días
136,"Spanish song...
Japanese Captions: exist
English people: ",485,hace 3 años
137,"Empecé a ver el Video en 2017 y aqui sigo en 2023, disfrutando de la magia de DESPACITO...",3,hace 7 días
138,2017-2023 is still a masterpiece,1,hace 11 días
139,totally a masterpiece,,hace 3 días
140,7th of August and this is still a banger,2,hace 4 días
141,Remembering this masterpiece today 09/08/23 after a long time,,hace 2 días
142,When you want to know the earths population just look for this song.,171,hace 3 años (editado)
143,Amo esta canción la escucho desde chiquita ,10,hace 6 días
144,Es que lo veo y sigo sin creerlo es un rolononon y el más visto...,,hace 6 días
145,The Best ,1,hace 2 días
146,"2023 все еще классная песня , эх были времена ",,hace 5 días
147,hermoso sonido,,hace 1 día
148,"World population is still higher than despacito views. 
Coronavirus: hold my beer",703,hace 3 años (editado)
149,It’s kinda crazy this was the #1 song in 2017 and now it’s like almost completely forgotten. 2017 sure did have some bangers.,,hace 10 días
150,2017 eran las mejores épocas y no nos dábamos cuenta,11,hace 9 días
151,me encanta la cancion,,hace 22 horas
152,I REMEMBER WHEN THIS SONG WAS POPULAR in it still POPULAR ,4,hace 9 días
153,Loved it,2,hace 4 días
154,a L e X a  P l A y  D e S p A c I t O,154,hace 4 años
155,"This is crazy.Years later, it still sounds like a song released today️️",17,hace 10 días
156,What a song Love from Sri Lanka...,1,hace 5 días
157,"After 2017, still favourite song ever.When i watch first time in Youtube this song views was 550 Million & now...where you go 'Despasito'",2,hace 3 días
158,Salute to sir louis fonsi for most views and for masterpiece,1,hace 10 días
159,Super ,,hace 2 días
160,"Teacher: What is population of earth?
Me: Around one despacito..xd",280,hace 2 años
161,Masterpiece song,,hace 7 días
162,Even if I can't understand the words this song is a banger,1,hace 8 días
163,This song is still a Legend,,hace 2 días
164,"Played it at 4am on full volume, my neighbours liked it so much that they threw stones at my windows to hear it clearly.",1,hace 5 días
165,"2017: Wonderful song
2023: National Anthem of the Universe",3,hace 1 día
166,"2017: Listen only to the song

2020: Check the Views",124,hace 3 años
167,childhood vibes ️,3,hace 7 días
168,Melhor música até agora ,6,hace 6 días
169,Los latinoamericanos teniendo la cancion mas famosa sel mundo ,1,hace 2 días
170,Awesome ,1,hace 6 días
171,luis fonsi mereces un the best de la musica si existe claro,,hace 2 días
172,"Me: start watching Despacito.
Ads: it's show time.",113,hace 2 años
173,"I love this song
from 🇸🇴",2,hace 11 días
174,G.O.A.T song of all time ,4,hace 7 días
175,Increíble,2,hace 2 días
176,I still come to watch this its a masterpiece,1,hace 8 días
177,,2,hace 1 día
178,Imagine how much money they Would have made from one add,149,hace 3 años (editado)
179,Som brabo de mas,4,hace 4 días
180,3 de agosto de 2023 y no supero esta canción  51M de me gusta,16,hace 7 días
181,"I can't understand anything, but the vibe of this song was just awesome ",1,hace 8 días
182,,2,hace 1 día
183,"2018 : Pewdiepie vs T-Series
2021 : Earth population vs Despacito Views",4.7 K,hace 3 años (editado)
184,I LOVE THIS SONG ,4,hace 9 días
185,"Esta canción es como el vino añejo. Cuanto más envejece, mejor se pone. Verdaderamente una obra maestra atemporal de Fonsi. Enamorado de cada latido.",3,hace 6 días
186,Still # 1 after 6 years ,6,hace 11 días
