,Brand,Name of the product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
103,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38CT, Hippie Funky Design, with Bag, Picks, Strap & Extra String set","2,459",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-JRZ38CT/dp/B01N3TTYJQ/ref=sr_1_92?keywords=guitar&qid=1691287313&sr=8-92
104,Kadence,"Kadence Frontier Series 40 Incheses wood Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks) (Sunburst)","5,499",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Sunburst-Strings/dp/B07T5DMPZ3/ref=sr_1_93?keywords=guitar&qid=1691287313&sr=8-93
105,Intern,"Intern INT-38C-SB-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","2,149",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_94?keywords=guitar&qid=1691287313&sr=8-94
106,Blueberry,"Blueberry, VIP-401, 40Inch TrussRod Acoustic Guitar Kit With 1 Bag, 1 Belt, 1 String Set And 2 Picks (Green)","3,990",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/Blueberry-VIP-401-40Inch-TrussRod-Acoustic/dp/B0BVYXF6X6/ref=sr_1_95?keywords=guitar&qid=1691287313&sr=8-95
107,VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key","4,801",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/Dreadnought-Acoustic-Gig-Bag-Strings-Polishing/dp/B0BJJRJVHY/ref=sr_1_96?keywords=guitar&qid=1691287313&sr=8-96
108,JUAREZ,"JUAREZ Arpéggio 104.14 cm (41 Inch) Acoustic Guitar Kit, Spruce Top, Black","5,589",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Acoustic-Guitar-Spruce/dp/B08KGCFXKP/ref=sr_1_97?keywords=guitar&qid=1691287313&sr=8-97
109,VAULT,Vault Artisan Premium Acoustic Guitar with Solid Spruce Top and Solid Mahogany Back and Sides Natural,"23,199",7 days Replacement,"Tuesday, 8 August",In stock,https://www.amazon.in/Vault-Artisan-Premium-Acoustic-Guitar/dp/B09P179GCM/ref=sr_1_98?keywords=guitar&qid=1691287313&sr=8-98
110,ORANGEWOOD GUITARS,ORANGEWOOD GUITARS Rey-M Grand Auditorium Cutaway Layered Mahogany Top 41 Inches Acoustic Guitar,"15,469",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/Orangewood-Auditorium-Acoustic-Mahogany-Earthwood/dp/B07BN7JMX3/ref=sr_1_99?keywords=guitar&qid=1691287313&sr=8-99
111,Nat,Fender Acoustic Guitar Dreadnought Cutaway Electronics FA-125CE Natural Right-Hand 0971113221 One of The Most reputed Guitar Brands in the World,"18,659",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/Fender-FA-125CE-Dreadnought-Fingerboard-Natural/dp/B07R16NMKH/ref=sr_1_100?keywords=guitar&qid=1691287313&sr=8-100
112,Enya,"Enya NOVA Go SP1 Carbon Fiber Acoustic Electric Guitar with Smart AcousticPlus 35 Inch Travel Acustica Guitarra Starter Bundle Kit of Gig Bag, Strap, Strings, Charging Cable, Instrument Cable(Blue)","25,500",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/NOVA-SP1-Acoustic-AcousticPlus-Instrument/dp/B0BHZBSK2X/ref=sr_1_101?keywords=guitar&qid=1691287313&sr=8-101
