,Brand,Product description,Price,% off
82,LIZA ANGEL,"Toughened Glass Lens, UV Protection, Riding Glasses, Ni...",₹249,50%
83,Eyewearlabs,"Polarized, UV Protection Rectangular Sunglasses (62)","₹2,199",38%
84,LIZA ANGEL,"UV Protection, Riding Glasses, Night Vision Spectacle ...",₹199,60%
85,Silver Kartz,UV Protection Wayfarer Sunglasses (Free Size),₹268,82%
86,VINCENT CHASE,"by Lenskart Polarized, UV Protection Retro Square Sungl...",₹883,55%
87,VINCENT CHASE,"by Lenskart Polarized, UV Protection Retro Square Sungl...",₹883,55%
88,Elligator,UV Protection Round Sunglasses (53),₹199,80%
89,Resist,"UV Protection, Riding Glasses, Polarized Wayfarer Sungl...","₹1,406",64%
90,VINCENT CHASE,"by Lenskart Polarized, UV Protection Wayfarer Sunglasse...",₹699,72%
91,VINCENT CHASE,"by Lenskart Polarized, UV Protection Wayfarer Sunglasse...",₹693,65%
92,Sukart,"UV Protection, Polarized, Gradient, Riding Glasses Wayf...",₹292,70%
93,Fastrack,UV Protection Wayfarer Sunglasses (55),₹841,6%
94,Fastrack,UV Protection Wayfarer Sunglasses (Free Size),₹723,27%
95,ROZZETTA CRAFT,"Polarized, Riding Glasses Sports, Wrap-around Sunglasse...",₹480,75%
96,VINCENT CHASE,"Polarized, UV Protection Aviator Sunglasses (56)",₹854,57%
97,ROZZETTA CRAFT,UV Protection Round Sunglasses (Free Size),₹649,74%
98,Singco India,"Gradient, Toughened Glass Lens, UV Protection Retro Squ...",₹630,68%
99,Rich Club,UV Protection Retro Square Sunglasses (54),₹225,67%
