,Brand,Product description,Price,% off
86,Englewood,White Sneakers | Top Rated Shoes | Gym Shoes | Running ...,₹424,77%
87,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹799,52%
88,asian,"Skypy-31 Walking Shoes,Training Shoes,Sneakers,Loafers,...",₹559,30%
89,PUMA,Buzz Sneakers For Men,"₹1,499",66%
90,Lutton,Sneakers For Women,₹539,77%
91,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹506,74%
92,Vellinto,Casual Sneakrs For Men Sneakers For Men,₹678,47%
93,U.S. POLO ASSN.,GAIMAN 2.O Sneakers For Men,"₹1,499",50%
94,asian,"Waterproof-15 Grey Synthetic Sports,Training,Gym,Casual...",₹649,50%
95,Super Stap,WHITE AIR FORCE SNEAKERS 530 Sneakers For Men,₹610,38%
96,WOODLAND,Sneakers For Men,"₹2,656",30%
97,WROGN,Sneakers For Men,"₹1,049",50%
98,RED TAPE,Sneakers For Men,"₹1,559",70%
99,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹429,78%
