,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
3,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,06M,15,2/23/2020,2020
4,Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",77K,18,9/19/2019,2019
5,Multivariate Gait Data,"Sequential, Multivariate, Time-Series","Classification, Regression, Clustering","Real, Categorical, Integer",8K,7,12/14/2022,2022
6,Hierarchical Sales Data,Time-Series,"Clustering, Other",N/A,8K,237,7/2/2021,2021
7,Polish companies bankruptcy data,Multivariate,Classification,Real,5K,64,4/10/2016,2016
8,Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",82K,13,1/18/2017,2017
9,Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53,7/15/2017,2017
10,Poker Hand,Multivariate,Classification,"Categorical, Integer",03M,11,12/31/2006,2006
11,Tennis Major Tournament Match Statistics,Multivariate,"Classification, Regression, Clustering","Integer, Real",127,42,5/31/2014,2014
12,Travel Reviews,"Multivariate, Text","Classification, Clustering",Real,980,11,12/18/2018,2018
13,South German Credit (UPDATE),Multivariate,"Classification, Regression, Clustering","Integer, Real",1K,21,6/19/2020,2020
14,ImageNet,Image,Classification,N/A,14M,-,11/26/2021,2021
15,MNIST Database of Handwritten Digits,Image,Classification,N/A,70K,-,10/16/2021,2021
16,Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,3/2/2017,2017
17,Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",2K,9,5/6/2019,2019
18,Fertility,Multivariate,"Classification, Regression",Real,100,10,1/16/2013,2013
19,SoDA,Time-Series,Classification,N/A,8K,-,6/19/2022,2022
20,Physical Therapy Exercises Dataset,Time-Series,"Classification, Clustering, Other",,88K,-,5/7/2022,2022
21,Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13,11/20/2017,2017
22,HCV data,Multivariate,"Classification, Clustering","Integer, Real",615,12,6/9/2020,2020
23,Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10,3/5/2018,2018
24,Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754,11/4/2018,2018
0,Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",88K,26,10/28/2009,2009
1,Myocardial infarction complications,Multivariate,Classification,Real,7K,111,12/8/2020,2020
2,Bosch CNC Machining Dataset,"Multivariate, Time-Series","Classification, Clustering",Real,7K,3,11/9/2022,2022
3,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,7/23/2019,2019
4,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,32K,13,9/23/2015,2015
5,Cardiotocography,Multivariate,Classification,Real,13K,23,9/6/2010,2010
6,News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",24K,11,2/19/2018,2018
7,HIGGS,null,Classification,Real,11M,28,2/11/2014,2014
8,Facebook metrics,Multivariate,Regression,Integer,500,19,8/4/2016,2016
9,Palmer penguins,Tabular,Classification,N/A,344,-,11/14/2021,2021
10,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,8,5/31/2013,2013
11,Toxicity,Tabular,Classification,N/A,171,-,5/4/2022,2022
12,in-vehicle coupon recommendation,Multivariate,Classification,N/A,68K,23,9/14/2020,2020
13,Cisco Secure Workload Networks of Computing Hosts,"Sequential, Text, Other","Clustering, Other",N/A,1M,-,5/15/2022,2022
14,NATICUSdroid (Android Permissions) Dataset,Tabular,Classification,N/A,33K,86,4/24/2022,2022
15,Stock portfolio performance,Multivariate,Regression,Real,315,12,4/21/2016,2016
16,Website Phishing,Multivariate,Classification,Integer,35K,10,11/1/2016,2016
17,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,10/2/2008,2008
18,Gender by Name,Text,"Classification, Clustering",N/A,27K,4,3/14/2020,2020
19,Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,12K,-,7/7/2013,2013
20,gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801,-,6/8/2016,2016
21,accelerometer_gyro_mobile_phone_dataset,"Tabular, Sequential, Multivariate, Time-Series",Classification,"Real, Categorical",99K,8,11/24/2022,2022
22,detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,06M,115,3/18/2018,2018
23,MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120,23,12/6/2014,2014
24,Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30K,-,9/12/2011,2011
0,Pedestrian in Traffic Dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Causal-Discovery",Real,76K,14,7/3/2019,2019
1,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,5/20/2012,2012
2,Algerian Forest Fires Dataset,Multivariate,"Classification, Regression",Real,244,12,10/21/2019,2019
3,Detect Malware Types,"Multivariate, Time-Series, Text",Classification,N/A,11K,280,6/2/2019,2019
4,Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,91K,129,10/22/2013,2013
5,Synchronous Machine Data Set,Multivariate,Regression,Real,557,5,4/20/2021,2021
6,Mammographic Mass,Multivariate,Classification,Integer,961,6,10/28/2007,2007
7,FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,57K,518,5/23/2017,2017
8,Autism Screening Adult,null,Classification,Integer,704,21,12/23/2017,2017
9,Basketball dataset,Time-Series,Classification,Integer,10K,7,7/1/2019,2019
10,South German Credit,Multivariate,"Classification, Regression, Clustering","Integer, Real",1K,21,11/28/2019,2019
11,Student Academics Performance,Multivariate,Classification,,300,22,9/15/2018,2018
12,Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series","Classification, Clustering, Causal-Discovery",Real,17M,7,10/15/2019,2019
13,Superconductivty Data,Multivariate,Regression,Real,26K,81,10/11/2018,2018
14,Electrical Grid Stability Simulated Data,Multivariate,"Classification, Regression",Real,10K,14,11/15/2018,2018
15,EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",98K,15,6/9/2013,2013
16,COVID-19 Surveillance,Multivariate,Classification,N/A,14,7,4/23/2020,2020
17,Drug Review Dataset (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,14K,8,10/1/2018,2018
18,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,85M,52,8/5/2012,2012
19,Auction Verification,Tabular,"Classification, Regression",N/A,04K,7,2/28/2022,2022
20,Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",96M,37,9/19/2019,2019
21,Tarvel Review Ratings,"Multivariate, Text","Classification, Clustering",Real,46K,25,12/18/2018,2018
22,Single elder home monitoring: Gas and position,Tabular,Classification,Real,63K,16,5/27/2023,2023
23,MaskReminder,Time-Series,Classification,N/A,6K,-,6/19/2022,2022
24,Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,54K,73,4/20/2008,2008
0,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,93M,16,10/25/2015,2015
1,Gas Turbine CO and NOx Emission Data Set,Multivariate,"Regression, Clustering",Real,73K,11,11/28/2019,2019
2,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,56K,7,2/28/2016,2016
3,Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,05K,12,4/21/2019,2019
4,Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,21K,-,4/25/2018,2018
5,Vertebral Column,Multivariate,Classification,Real,310,6,8/8/2011,2011
6,Dota2 Games Results,Multivariate,Classification,,94K,116,8/13/2016,2016
7,Plants,Multivariate,Clustering,Categorical,78K,70,12/30/2008,2008
8,Residential Building Data Set,Multivariate,Regression,Real,372,105,2/18/2018,2018
9,Open Web Text Corpus,Text,"Classification, Regression, Clustering",N/A,01M,-,12/2/2021,2021
10,YearPredictionMSD,Multivariate,Regression,Real,35K,90,2/6/2011,2011
11,Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12K,3,7/26/2015,2015
12,Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,78K,5,12/21/2013,2013
13,Student Performance on an entrance examination,Multivariate,Classification,N/A,666,11,12/9/2018,2018
14,Alcohol QCM Sensor Dataset,Multivariate,"Classification, Regression, Clustering",Real,125,8,7/21/2019,2019
15,Hungarian Chickenpox Cases,Time-Series,Regression,Real,521,20,2/16/2021,2021
16,Gas sensor array temperature modulation,"Multivariate, Time-Series","Classification, Regression",Real,1M,20,4/14/2019,2019
17,Bag of Words,Text,Clustering,Integer,8M,-,3/11/2008,2008
18,Parkinson Speech Dataset with Multiple Types of Sound Recordings,Multivariate,"Classification, Regression","Integer, Real",04K,26,6/11/2014,2014
19,YouTube Spam Collection,Text,Classification,,96K,5,3/25/2017,2017
20,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2/10/2009,2009
21,BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",92M,10,6/16/2020,2020
22,CIFAR-10,Image,Classification,N/A,60K,-,11/24/2021,2021
